Centroid X	Centroid Y	Database ID	Image Name	Intensity Variance SOX17	Intensity Variance SOX2	Intensity Variance TBXT	Intensity Variance LMBR	Is Border	Kurtosis Intensity SOX17	Kurtosis Intensity SOX2	Kurtosis Intensity TBXT	Kurtosis Intensity LMBR	Location X	Location Y	Max Intensity SOX17	Max Intensity SOX2	Max Intensity TBXT	Max Intensity LMBR	Mean Intensity SOX17	Mean Intensity SOX2	Mean Intensity TBXT	Mean Intensity LMBR	Median Intensity SOX17	Median Intensity SOX2	Median Intensity TBXT	Median Intensity LMBR	Min Intensity SOX17	Min Intensity SOX2	Min Intensity TBXT	Min Intensity LMBR	Normalised Coordinate 0	Normalised Coordinate 1	Second Moment 0	Second Moment 1	Sum Intensity SOX17	Sum Intensity SOX2	Sum Intensity TBXT	Sum Intensity LMBR	bounding box maximum X	bounding box maximum Y	bounding box minimum X	bounding box minimum Y	label	volume	
227.03673245614027	441.7049342105259	392	NMP Image Mine.tiff	1556.0084008097149	175537.0871023715	945.206998264893	21069.20316175054	false	3.905250307713709	0.7577694197545526	0.15364933954745164	4.836979802805285	349	679	947.0	3128.0	969.0	3429.0	730.7302631578948	2210.157894736843	862.7236842105264	2731.9649122807014	728.0	2260.0	862.0	2705.0	642.0	935.0	778.0	2463.0	-91.8164375517328	95.40892199466964	11053.488048245657	11683.771381580154	333213.0	1007832.0	393402.0	1245776.0	360	692	337	668	3049.0	192.66000000000003	
359.1510695187162	344.9831550802139	393	NMP Image Mine.tiff	914.9457140399419	37164.90077561611	2193.745129102091	134002.80870525155	false	3.18664749178332	-0.8558539030249217	0.2077157684395572	9.600692300405353	552	530	927.0	1658.0	1107.0	5082.0	757.0775401069519	1263.0053475935836	975.8957219251337	2944.705882352941	754.0	1329.0	979.0	2853.0	689.0	853.0	832.0	2607.0	40.29789951084314	-1.3128571356423322	8133.383957219168	6871.382887700543	283147.0	472364.0	364985.0	1101320.0	564	542	541	520	766.0	158.01500000000001	
150.90705882352933	214.03735294117664	394	NMP Image Mine.tiff	2157.398748025733	25941.00288917141	11826.096232520513	48386.09678338916	false	2.592086346292539	-0.41338741362388687	0.11464746828878258	5.085581323682446	232	329	1006.0	1635.0	1665.0	4226.0	794.9549019607844	1281.35294117647	1308.4058823529413	3141.854901960784	789.0	1298.0	1315.0	3107.0	669.0	858.0	964.0	2712.0	-167.94611118434375	-132.25865927467962	16069.407058823539	11591.209117647239	405427.0	653490.0	667287.0	1602346.0	245	342	218	317	2899.0	215.47500000000002	
189.99651162790693	389.9017441860463	395	NMP Image Mine.tiff	2470.4647082823326	130074.29630762957	3879.8320413436672	12610.572657418737	false	6.263028614235081	-1.0503682131328547	1.9548445141646247	-0.006170218333003241	292	599	1007.0	2274.0	1229.0	3437.0	759.7093023255813	1631.1918604651166	977.8023255813954	3138.3662790697676	750.0	1678.0	979.0	3150.0	678.0	917.0	834.0	2811.0	-128.85665837996615	43.60573197019005	1768.1813953488343	1478.1453488373584	130670.0	280565.0	168182.0	539799.0	300	608	284	594	3239.0	72.67	
451.81857798165123	542.1298165137615	396	NMP Image Mine.tiff	17366.787553375903	713827.0904536424	4634.888872447466	79288.07240096391	false	1.3604619368702817	-0.8866727062765727	-0.6055850875882349	2.008175801533155	695	834	1532.0	4314.0	1254.0	4480.0	944.8807339449543	2367.95871559633	1080.0229357798164	3272.793577981651	908.0	2306.0	1073.0	3230.0	761.0	996.0	940.0	2730.0	132.96540797377816	195.83380429790526	2665.372706422072	2558.10183486244	205984.0	516215.0	235445.0	713469.0	705	842	687	826	1693.0	92.105	
507.53384476534353	640.8002707581234	397	NMP Image Mine.tiff	1527.6804303405772	371164.6157715383	2000.778738877536	34317.41688590628	true	2.255179539389851	0.11124825739267097	0.1462128219435721	5.3201322641115025	780	985	1020.0	3890.0	1136.0	4302.0	827.0361010830325	2172.341155234657	999.1299638989169	3327.028880866426	826.0	2246.0	999.0	3308.0	724.0	771.0	872.0	2817.0	188.68067475747046	294.5042585422671	27914.450631769	9773.373014437999	458178.0	1203477.0	553518.0	1843174.0	798	995	765	975	4960.0	234.06500000000003	
138.33156384505028	395.44992826398845	398	NMP Image Mine.tiff	1340.6368797308687	1266575.6924545248	3220.109092333316	57793.8901078514	false	0.610641851201025	3.2479986604736726	-0.37150817297464833	0.8634123785685484	212	608	941.0	6681.0	1038.0	3598.0	762.0731707317074	2340.0086083213796	879.2984218077476	2572.624103299857	760.0	2192.0	879.0	2620.0	663.0	897.0	736.0	1970.0	-180.5216061628228	49.1539160481322	19134.608608321447	43464.81922525019	531165.0	1630986.0	612871.0	1793119.0	227	627	200	588	3865.0	294.4825	
162.5377755511021	552.023246492986	399	NMP Image Mine.tiff	1282.2470322170445	8279.340625025157	1470.5316496446694	29691.86350210462	false	3.702746898114025	0.09208813200422439	3.5303751298371995	-0.05127541855742068	250	849	989.0	1326.0	1083.0	3060.0	767.6533066132265	1023.0821643286574	861.563126252505	2528.8817635270543	766.0	1021.0	860.0	2529.0	676.0	777.0	762.0	2015.0	-156.31539445677097	205.72723427712975	8527.554509018106	21630.408216430784	383059.0	510518.0	429920.0	1261912.0	262	865	240	833	2572.0	210.82750000000001	
429.1371387283239	551.8725433526013	400	NMP Image Mine.tiff	2181.892870905587	1218007.9564463436	3052.7132864203727	27037.059127083827	false	3.298997590030114	-1.0715858043070885	4.026506612788074	0.5087244290636503	660	849	1037.0	4910.0	1251.0	3656.0	820.0924855491329	2721.008670520234	972.5346820809248	3039.913294797688	815.0	2943.0	967.0	3021.0	696.0	895.0	839.0	2695.0	110.28396872045084	205.57653113674502	8365.23887283237	4669.329479768761	283752.0	941469.0	336497.0	1051810.0	672	857	648	840	1084.0	146.185	
295.98562499999997	448.09699999999987	401	NMP Image Mine.tiff	1718.7698245614035	571904.9598997504	4451.879141604014	32579.147713032562	false	1.1803645538227725	-0.7361483289568387	-0.5184413540719461	4.849795203807637	455	689	866.0	3879.0	1197.0	3642.0	722.89	2388.15	971.7925000000002	2749.1125000000006	716.0	2406.0	969.0	2715.0	640.0	815.0	828.0	2453.0	-22.867545007873105	101.80098778414362	8610.18437499972	11823.656000000157	289156.0	955260.0	388717.0	1099645.0	466	703	443	676	2106.0	169.00000000000003	
